id_espece;nom_espece
292;BATAVIA ROUGE
293;BATAVIA ROUGE BIO
294;BATAVIA ROUGE BIO
295;BATAVIA ROUGE
296;BATAVIA ROUGE
297;BATAVIA BLONDE
298;BATAVIA BLONDE
299;SUCRINE
300;AUBERGINE
301;AUBERGINE BIO
302;PORTE GREFFE
303;TOMATE BIO
304;PORTE GREFFE BIO
305;TOMATE BIO
306;LAITUE
307;TOMATE
308;TOMATE
309;MELON
310;MELON BIO
311;CHENE ROUGE
312;CHENE ROUGE BIO
313;ROMAINE
314;TOMATE
315;TOMATE BIO
316;TOMATE
317;TOMATE BIO
318;LAITUE
319;TOMATE
320;POIVRON
321;TOMATE
322;AUBERGINE
323;AUBERGINE BIO
324;POIVRON
325;TOMATE
326;TOMATE BIO
327;TOMATE
328;TOMATE BIO
329;FENOUIL
330;FENOUIL BIO
331;TOMATE
332;TOMATE BIO
333;CHOU-FLEUR
334;CHOU-FLEUR BIO
335;CHOU-BROCOLI
336;CHOU-BROCOLI BIO
337;POIREAU
338;POIREAU BIO
339;CHENE ROUGE
340;FRISEE
341;BLETTE
342;BLETTE BIO
343;CHENE BLONDE
344;CHENE BLONDE BIO
345;CHENE ROUGE BIO
346;FENOUIL BIO
347;CHICOREE
348;FENOUIL
349;CHOU-BROCOLI
350;BETTERAVE
351;BETTERAVE BIO
352;BETTERAVE BIO
353;BETTERAVE
354;BETTERAVE
355;COURGE
356;AUBERGINE
357;PASTEQUE
358;BATAVIA BLONDE
359;BATAVIA BLONDE BIO
360;HARICOT
361;POIVRON
362;LAITUE
363;TOMATE
364;TOMATE BIO
365;TOMATE BIO
366;AUBERGINE
367;AUBERGINE BIO
368;TOMATE
369;TOMATE BIO
370;AUBERGINE
371;AUBERGINE BIO
372;CARDON
373;NAVET
374;HARICOT
375;HARICOT BIO
376;BLETTE
377;BLETTE BIO
378;BLETTE BIO
379;BLETTE
380;COURGE
381;POIREAU
382;BLEUET BIO
383;BLEUET BIO
384;POTIRON
385;CHOU-CABUS
386;BLETTE
387;TOMATE
388;POTIMARRON
389;TOMATE
390;TOMATE BIO
391;TOMATE BIO
392;CONCOMBRE
393;TOMATE
394;TOMATE BIO
395;TOMATE
396;MELON
397;MELON BIO
398;CHOU-FLEUR
399;BETTERAVE
400;POIREAU
401;BETTERAVE
402;ORIGAN
403;BETTERAVE
404;BETTERAVE BIO
405;TOMATE BIO
406;COURGETTE BIO
407;CHENE ROUGE
408;AUBERGINE
409;AUBERGINE BIO
410;EPINARD
411;MELON
412;CHOU-FLEUR
413;TOMATE
414;TOMATE BIO
415;CONCOMBRE
416;PASTEQUE
417;CHOU-BRUXELLES
418;CHICOREE
419;FENOUIL
420;CHENE ROUGE
421;CHENE ROUGE BIO
422;AROMATIQUE
423;BATAVIA BLONDE
424;CONCOMBRE BIO
425;EPINARD
426;CHOU-LISSE
427;TOMATE
428;TOMATE
429;BATAVIA BLONDE
430;TOMATE
431;BETTERAVE
432;CHOU-FLEUR
433;LAITUE
434;LAITUE BIO
435;CHOU-FLEUR
436;CHENE BLONDE
437;BLETTE
438;BLETTE BIO
439;POTIMARRON BIO
440;BLETTE
441;BLETTE BIO
442;CHOU-BRUXELLES
443;TOMATE
444;CHOU-FLEUR
445;COURGETTE
446;FENOUIL
447;OIGNON
448;OIGNON BIO
449;LAITUE BIO
450;MELON
451;POIS BIO
452;TOMATE
453;TOMATE
454;TOMATE BIO
455;TOMATE
456;TOMATE BIO
457;SUCRINE
458;LAITUE ROUGE
