id_uv;id_espece;nom_uv;nombre_plant_par_plateaux;nombre_graine_par_motte
132;132;Pltx 120 Bio greffé Protector;120;1
133;133;Pltx 120 Bio greffé Protector écarté;120;1
134;134;Pltx 120 Bio greffé STT3;120;1
135;135;Pltx 120 Bio greffé STT3 écarté;120;1
136;136;Pltx 120 Bio greffé STT3-E;120;1
137;137;Pltx 120 Bio greffé STT3-E écarté;120;1
138;138;Pltx 150 Bio écarté;150;1
139;139;Pltx 168 Bio greffé Beaufort écarté;168;1
140;140;Pltx 168 Bio greffé Espina écarté;168;1
141;141;Pltx 168 Bio greffé Fortamino écarté;168;1
142;142;Pltx 168 Bio greffé Protector écarté;168;1
143;143;Pltx 168 Bio greffé STT3 écarté;168;1
144;144;Pltx 18 Bio greffé Beaufort écarté tuteuré;18;1
145;145;Pltx 18 Bio greffé Fortamino écarté tuteuré;18;1
146;146;Pltx 18 Bio greffé STT3 écarté tuteuré;18;1
147;147;Pltx 18 Bio greffé STT3-E écarté tuteuré;18;1
148;148;Pltx 18 Bio repiqué écarté;18;1
149;149;Pltx 240 Bio Greffé Protector;240;1
150;150;Pltx 240 Polystyrène Bio écarté;240;1
151;151;Pltx 240 STAMP Plastique écarté Bio;240;1
152;152;Pltx 32 Bio greffé Beaufort;32;1
153;153;Pltx 32 Bio greffé Beaufort écarté;32;1
154;154;Pltx 32 Bio greffé Beaufort écarté tuteuré;32;1
155;155;Pltx 32 Bio greffé Espina écarté tuteuré;32;1
156;156;Pltx 32 Bio greffé Fortamino;32;1
157;157;Pltx 32 Bio greffé Fortamino écarté;32;1
158;158;Pltx 32 Bio greffé Fortamino écarté tuteuré;32;1
159;159;Pltx 32 Bio greffé STT3;32;1
160;160;Pltx 32 Bio greffé STT3 écarté;32;1
161;161;Pltx 32 Bio greffé STT3 écarté tuteuré;32;1
162;162;Pltx 32 Bio greffé STT3-E;32;1
163;163;Pltx 32 Bio greffé STT3-E écarté;32;1
164;164;Pltx 32 Bio greffé STT3-E écarté tuteuré;32;1
165;165;Pltx 32 Bio repiqué;32;1
166;166;Pltx 32 Bio repiqué écarté;32;1
167;167;Pltx 32 Bio repiqué écarté tuteuré;32;1
168;168;Pltx 48 Bio trié;48;1
169;169;Pltx 50 Bio greffé Beaufort;50;1
170;170;Pltx 50 Bio greffé Beaufort écarté;50;1
171;171;Pltx 50 Bio greffé Beaufort écarté tuteuré;50;1
172;172;Pltx 50 Bio greffé Espina écarté tuteuré;50;1
173;173;Pltx 50 Bio greffé Fortamino;50;1
174;174;Pltx 50 Bio greffé Fortamino écarté;50;1
175;175;Pltx 50 Bio greffé Fortamino écarté tuteuré;50;1
176;176;Pltx 50 Bio greffé STT3;50;1
177;177;Pltx 50 Bio greffé STT3 écarté;50;1
178;178;Pltx 50 Bio greffé STT3 écarté tuteuré;50;1
179;179;Pltx 50 Bio greffé STT3-E;50;1
180;180;Pltx 50 Bio greffé STT3-E écarté;50;1
181;181;Pltx 50 Bio greffé STT3-E écarté tuteuré;50;1
182;182;Pltx 50 Bio repiqué;50;1
183;183;Pltx 50 Bio repiqué écarté;50;1
184;184;Pltx 50 Bio repiqué écarté tuteuré;50;1
185;185;Pltx 60 Bio greffé Beaufort écarté;60;1
186;186;Pltx 60 Bio greffé Beaufort écarté tuteuré;60;1
187;187;Pltx 60 Bio greffé Fortamino écarté;60;1
188;188;Pltx 60 Bio greffé STT3 écarté;60;1
189;189;Pltx 60 Bio greffé STT3 écarté tuteuré;60;1
190;190;Pltx 60 Bio greffé STT3-E écarté;60;1
191;191;Pltx 60 Bio greffé STT3-E écarté tuteuré;60;1
192;192;Pltx 60 Bio grerffé Fortamino écarté tuteuré;60;1
193;193;Pltx 60 Bio repiqué écarté;60;1
194;194;Pltx 60 Bio écarté;60;1
195;195;Pltx 600 Bio;600;1
196;196;Pltx 90 Bio greffé Beaufort écarté;90;1
197;197;Pltx 90 Bio greffé Black Angel écarté;90;1
198;198;Pltx 90 Bio greffé Espina écarté;90;1
199;199;Pltx 90 Bio greffé Fortamino écarté;90;1
200;200;Pltx 96 Bio écarté;96;1
201;201;Pltx 150 Bio;150;1
202;202;Pltx 240 Polystyrène Bio;240;1
203;203;Plateaux 176;176;8
204;204;Pltx 120;120;8
205;205;Pltx 140;140;8
206;206;Pltx 150;150;8
207;207;Pltx 240 Polystyrène;240;8
208;208;Pltx 240 STAMP Plastique;240;8
209;209;Pltx 240 laine roche écarté;240;8
210;210;Pltx 96;96;8
